UQID,Category,DateTimeStamp
53,I,2022-03-11 17:46:10.608909
54,E,2022-03-11 17:46:12.760440
55,G,2022-03-11 17:46:15.742673
56,A,2022-03-11 17:46:16.999748
57,C,2022-03-11 17:46:19.525421
58,H,2022-03-11 17:46:46.847855
59,D,2022-03-11 17:47:10.241789
60,B,2022-03-11 17:47:53.535241
61,C,2022-03-11 17:47:55.612065
62,I,2022-03-11 17:48:04.843080
63,A,2022-03-11 17:48:52.030443
64,G,2022-03-11 17:49:09.995831
65,J,2022-03-11 17:49:27.994031
66,A,2022-03-11 17:50:17.504703
67,J,2022-03-11 17:50:31.266677
68,F,2022-03-11 17:50:33.558099
69,I,2022-03-11 17:51:02.521939
70,G,2022-03-11 17:51:12.368755
71,C,2022-03-11 17:51:18.252378
72,F,2022-03-11 17:52:10.877192
73,G,2022-03-11 17:52:15.043596
74,I,2022-03-11 17:52:25.548105
75,F,2022-03-11 17:52:52.823406
76,G,2022-03-11 17:52:55.398217
77,A,2022-03-11 17:53:11.432790
78,A,2022-03-11 17:53:32.869086
79,A,2022-03-11 17:53:41.630788
80,H,2022-03-11 17:54:05.665228
81,A,2022-03-11 17:54:17.308208
82,D,2022-03-11 17:54:24.282075
83,J,2022-03-11 17:54:50.466828
84,F,2022-03-11 17:55:05.841258
85,A,2022-03-11 17:55:07.245204
86,I,2022-03-11 17:55:14.905527
87,D,2022-03-11 17:55:29.398638
88,A,2022-03-11 17:55:34.388849
89,I,2022-03-11 17:56:00.944340
90,F,2022-03-11 17:56:11.747119
91,H,2022-03-11 17:56:16.252407
92,B,2022-03-11 17:56:38.510965
93,G,2022-03-11 17:56:40.787793
94,G,2022-03-11 17:57:00.159292
95,E,2022-03-11 17:57:21.951383
96,E,2022-03-11 17:57:31.073622
97,A,2022-03-11 17:58:21.924260
98,I,2022-03-11 17:58:24.580430
99,E,2022-03-11 17:58:28.561909
100,A,2022-03-11 17:59:09.235023
101,H,2022-03-11 17:59:14.839129
102,G,2022-03-11 17:59:17.190100
103,G,2022-03-11 17:59:50.559677
104,B,2022-03-11 17:59:59.150356
105,G,2022-03-11 18:00:10.691116
106,F,2022-03-11 18:00:24.941281
107,F,2022-03-11 18:00:28.111078
108,G,2022-03-11 18:00:30.091084
109,D,2022-03-11 18:00:37.573080
110,I,2022-03-11 18:00:53.367834
111,B,2022-03-11 18:01:01.672909
112,E,2022-03-11 18:01:02.337426
113,G,2022-03-11 18:01:04.044146
114,I,2022-03-11 18:01:56.064578
115,F,2022-03-11 18:02:17.959913
116,D,2022-03-11 18:02:20.414141
117,C,2022-03-11 18:02:34.656431
118,I,2022-03-11 18:02:51.234817
119,G,2022-03-11 18:03:05.604740
120,D,2022-03-11 18:03:07.118605
121,G,2022-03-11 18:03:20.652462
122,J,2022-03-11 18:03:30.300980
123,C,2022-03-11 18:03:32.685582
124,G,2022-03-11 18:03:56.145399
125,C,2022-03-11 18:04:01.780901
126,J,2022-03-11 18:04:10.431469
127,E,2022-03-11 18:04:32.921718
128,A,2022-03-11 18:04:38.827186
129,H,2022-03-11 18:04:52.673660
130,I,2022-03-11 18:04:59.268828
131,C,2022-03-11 18:05:43.137021
132,F,2022-03-11 18:06:00.509042
133,I,2022-03-11 18:06:05.820936
134,I,2022-03-11 18:06:39.251618
135,G,2022-03-11 18:06:47.471556
136,B,2022-03-11 18:07:46.122729
137,A,2022-03-11 18:08:17.438581
138,D,2022-03-11 18:08:17.632228
139,F,2022-03-11 18:08:21.082452
140,F,2022-03-11 18:08:25.708799
141,I,2022-03-11 18:09:35.129232
142,H,2022-03-11 18:09:36.932547
143,E,2022-03-11 18:09:55.750913
144,A,2022-03-11 18:10:08.738313
145,C,2022-03-11 18:10:11.341352
146,D,2022-03-11 18:10:51.758226
147,E,2022-03-11 18:10:57.773243
148,A,2022-03-11 18:11:27.317897
149,D,2022-03-11 18:11:41.438669
150,I,2022-03-11 18:12:04.610519
151,B,2022-03-11 18:12:08.075428
152,H,2022-03-11 18:12:16.102856
153,F,2022-03-11 18:12:29.917247
154,B,2022-03-11 18:12:37.197365
155,I,2022-03-11 18:12:40.544486
156,E,2022-03-11 18:12:41.871020
157,B,2022-03-11 18:13:00.068303
158,F,2022-03-11 18:13:12.771353
159,F,2022-03-11 18:13:24.503528
160,G,2022-03-11 18:13:56.084902
161,B,2022-03-11 18:14:07.988033
162,A,2022-03-11 18:14:51.393099
163,G,2022-03-11 18:16:03.006238
164,B,2022-03-11 18:16:30.244730
165,J,2022-03-11 18:16:32.718361
166,E,2022-03-11 18:16:38.619860
167,G,2022-03-11 18:17:39.167958
168,J,2022-03-11 18:17:45.629078
169,J,2022-03-11 18:17:47.370099
170,A,2022-03-11 18:18:33.123894
171,B,2022-03-11 18:18:39.045398
172,G,2022-03-11 18:18:49.900929
173,D,2022-03-11 18:19:05.030486
174,C,2022-03-11 18:19:33.889653
175,H,2022-03-11 18:19:59.672702
176,B,2022-03-11 18:20:09.866972
177,D,2022-03-11 18:20:18.792767
178,D,2022-03-11 18:21:08.544549
179,B,2022-03-11 18:21:41.708408
180,I,2022-03-11 18:22:02.784449
181,C,2022-03-11 18:22:06.201748
182,G,2022-03-11 18:22:15.334096
183,C,2022-03-11 18:22:17.141412
184,G,2022-03-11 18:22:43.377012
185,H,2022-03-11 18:22:50.536647
186,J,2022-03-11 18:23:00.178089
187,G,2022-03-11 18:23:22.362364
188,B,2022-03-11 18:23:30.473823
189,D,2022-03-11 18:23:37.322480
190,J,2022-03-11 18:23:53.948739
191,F,2022-03-11 18:24:06.883130
192,F,2022-03-11 18:24:41.152423
193,J,2022-03-11 18:24:51.370587
194,A,2022-03-11 18:25:03.147657
195,I,2022-03-11 18:25:30.857490
196,G,2022-03-11 18:26:25.186092
197,C,2022-03-11 18:26:30.461127
198,E,2022-03-11 18:26:30.512297
199,E,2022-03-11 18:26:46.438743
200,H,2022-03-11 18:27:39.640384
201,I,2022-03-11 18:27:46.427871
202,F,2022-03-11 18:28:03.634368
203,I,2022-03-11 18:28:06.200172
204,B,2022-03-11 18:28:08.986557
205,C,2022-03-11 18:28:38.613556
206,C,2022-03-11 18:28:39.370151
207,G,2022-03-11 18:29:10.507328
208,H,2022-03-11 18:29:24.376746
209,J,2022-03-11 18:29:36.130265
210,E,2022-03-11 18:29:47.198854
211,D,2022-03-11 18:30:00.316447
212,I,2022-03-11 18:30:05.253406
213,E,2022-03-11 18:31:07.582807
214,J,2022-03-11 18:31:19.593305
215,A,2022-03-11 18:31:20.467190
216,G,2022-03-11 18:33:10.096964
217,B,2022-03-11 18:33:18.293579
218,B,2022-03-11 18:33:24.945862
219,I,2022-03-11 18:33:27.758860
220,C,2022-03-11 18:33:45.026971
221,F,2022-03-11 18:33:45.715927
222,H,2022-03-11 18:34:30.547186
223,I,2022-03-11 18:34:36.620746
224,H,2022-03-11 18:34:53.527588
225,E,2022-03-11 18:35:20.586143
226,I,2022-03-11 18:35:21.537550
227,H,2022-03-11 18:35:23.800717
228,G,2022-03-11 18:35:53.195088
229,I,2022-03-11 18:36:05.427750
230,F,2022-03-11 18:36:09.000162
231,C,2022-03-11 18:36:16.120505
232,B,2022-03-11 18:36:44.570385
233,I,2022-03-11 18:36:48.075638
234,G,2022-03-11 18:37:01.188003
235,H,2022-03-11 18:37:08.985780
236,B,2022-03-11 18:37:34.840347
237,H,2022-03-11 18:37:52.956276
238,I,2022-03-11 18:37:57.984155
239,G,2022-03-11 18:38:12.180153
240,I,2022-03-11 18:38:31.615272
241,I,2022-03-11 18:38:57.949288
242,J,2022-03-11 18:39:48.910576
243,C,2022-03-11 18:40:23.509763
244,A,2022-03-11 18:40:28.407437
245,E,2022-03-11 18:41:20.392773
246,D,2022-03-11 18:41:30.352364
247,B,2022-03-11 18:41:36.704501
248,A,2022-03-11 18:41:38.778843
249,B,2022-03-11 18:41:53.737037
250,A,2022-03-11 18:42:10.039228
251,I,2022-03-11 18:42:10.274280
252,F,2022-03-11 18:43:38.495813
253,G,2022-03-11 18:43:54.606835
254,A,2022-03-11 18:44:18.696724
255,I,2022-03-11 18:45:38.215562
256,B,2022-03-11 18:45:53.553905
257,G,2022-03-11 18:46:21.084474
258,C,2022-03-11 18:46:52.618661
259,C,2022-03-11 18:47:06.385166
260,B,2022-03-11 18:47:31.632342
261,C,2022-03-11 18:47:41.314533
262,B,2022-03-11 18:47:41.722006
263,B,2022-03-11 18:47:47.803362
264,A,2022-03-11 18:47:48.069013
265,D,2022-03-11 18:47:50.071471
266,B,2022-03-11 18:49:09.300956
267,G,2022-03-11 18:49:15.141825
268,D,2022-03-11 18:49:16.469758
269,C,2022-03-11 18:50:34.031649
270,C,2022-03-11 18:50:38.135492
271,C,2022-03-11 18:51:10.017067
272,H,2022-03-11 18:51:22.202403
273,D,2022-03-11 18:51:29.186148
274,F,2022-03-11 18:51:32.044115
275,G,2022-03-11 18:51:46.311262
276,C,2022-03-11 18:51:48.507213
277,B,2022-03-11 18:52:11.383240
278,C,2022-03-11 18:52:13.604911
279,C,2022-03-11 18:52:13.613713
280,J,2022-03-11 18:53:10.698767
281,C,2022-03-11 18:53:19.780893
282,F,2022-03-11 18:53:24.187569
283,J,2022-03-11 18:53:31.534933
284,C,2022-03-11 18:53:57.052703
285,J,2022-03-11 18:54:00.931882
286,B,2022-03-11 18:54:27.041912
287,B,2022-03-11 18:54:32.651889
288,G,2022-03-11 18:54:32.661717
289,H,2022-03-11 18:54:36.280732
290,E,2022-03-11 18:54:38.566789
291,F,2022-03-11 18:54:51.525507
292,G,2022-03-11 18:54:51.665427
293,H,2022-03-11 18:54:53.039794
294,G,2022-03-11 18:54:55.616205
295,D,2022-03-11 18:55:04.323067
296,B,2022-03-11 18:55:19.362747
297,C,2022-03-11 18:55:42.270421
298,J,2022-03-11 18:55:50.776517
299,J,2022-03-11 18:56:01.047411
300,B,2022-03-11 18:56:18.020017
301,J,2022-03-11 18:56:28.170803
302,F,2022-03-11 18:56:46.219696
303,G,2022-03-11 18:57:21.720732
304,G,2022-03-11 18:57:38.692694
305,G,2022-03-11 18:57:39.311411
306,F,2022-03-11 18:57:43.235553
307,J,2022-03-11 18:58:29.613956
308,G,2022-03-11 18:58:38.440994
309,F,2022-03-11 18:58:53.585252
310,H,2022-03-11 18:58:59.025227
311,D,2022-03-11 18:59:11.893205
312,G,2022-03-11 18:59:20.279383
313,H,2022-03-11 18:59:34.722216
314,B,2022-03-11 18:59:46.707566
315,J,2022-03-11 19:00:45.921811
316,F,2022-03-11 19:01:28.178781
317,I,2022-03-11 19:01:36.940638
318,E,2022-03-11 19:02:45.025393
319,A,2022-03-11 19:03:30.705113
320,G,2022-03-11 19:03:49.341057
321,E,2022-03-11 19:04:02.620635
322,D,2022-03-11 19:04:21.010294
323,A,2022-03-11 19:04:21.888770
324,E,2022-03-11 19:05:02.708363
325,I,2022-03-11 19:05:03.691666
326,J,2022-03-11 19:05:06.754645
327,I,2022-03-11 19:05:11.257690
328,H,2022-03-11 19:05:16.704223
329,C,2022-03-11 19:05:57.005627
330,A,2022-03-11 19:05:57.733823
331,H,2022-03-11 19:06:03.561309
332,A,2022-03-11 19:06:20.071659
333,H,2022-03-11 19:06:42.979146
334,D,2022-03-11 19:07:32.513217
335,B,2022-03-11 19:07:40.332688
336,B,2022-03-11 19:07:52.570142
337,A,2022-03-11 19:07:58.970699
338,G,2022-03-11 19:08:19.620471
339,D,2022-03-11 19:08:31.890160
340,A,2022-03-11 19:08:59.290083
341,F,2022-03-11 19:09:19.380215
342,A,2022-03-11 19:09:35.646594
343,E,2022-03-11 19:09:39.307624
344,J,2022-03-11 19:09:48.363013
345,H,2022-03-11 19:10:17.929735
346,H,2022-03-11 19:10:28.434300
347,B,2022-03-11 19:10:34.439384
348,E,2022-03-11 19:10:42.742035
349,I,2022-03-11 19:11:20.205649
350,F,2022-03-11 19:11:24.474287
351,G,2022-03-11 19:11:36.803782
352,I,2022-03-11 19:11:59.665641
353,D,2022-03-11 19:12:46.508025
354,F,2022-03-11 19:14:18.908467
355,C,2022-03-11 19:14:25.446996
356,H,2022-03-11 19:14:35.085710
357,I,2022-03-11 19:14:44.071013
358,C,2022-03-11 19:14:54.627294
359,E,2022-03-11 19:15:00.241535
360,H,2022-03-11 19:15:18.120083
361,C,2022-03-11 19:15:21.613154
362,C,2022-03-11 19:15:25.459719
363,D,2022-03-11 19:15:31.269970
364,C,2022-03-11 19:16:06.784877
365,I,2022-03-11 19:16:35.087188
366,I,2022-03-11 19:16:50.207890
367,B,2022-03-11 19:17:14.213298
368,E,2022-03-11 19:17:41.606646
369,D,2022-03-11 19:18:31.928059
370,F,2022-03-11 19:18:34.587448
371,G,2022-03-11 19:19:23.786946
372,E,2022-03-11 19:19:35.809504
373,G,2022-03-11 19:19:38.791108
374,D,2022-03-11 19:19:47.785311
375,I,2022-03-11 19:19:53.115012
376,I,2022-03-11 19:20:26.566301
377,I,2022-03-11 19:21:06.222683
378,C,2022-03-11 19:21:09.706494
379,F,2022-03-11 19:21:19.924108
380,F,2022-03-11 19:21:58.124812
381,J,2022-03-11 19:22:13.988137
382,A,2022-03-11 19:22:31.671671
383,E,2022-03-11 19:23:30.236877
384,D,2022-03-11 19:23:33.099600
385,D,2022-03-11 19:23:57.770056
386,J,2022-03-11 19:23:57.804270
387,F,2022-03-11 19:23:58.386576
388,I,2022-03-11 19:24:10.303632
389,A,2022-03-11 19:24:31.149026
390,J,2022-03-11 19:24:56.107928
391,A,2022-03-11 19:25:29.259133
392,A,2022-03-11 19:25:33.107559
393,E,2022-03-11 19:25:53.215810
394,D,2022-03-11 19:26:54.432773
395,B,2022-03-11 19:27:27.712311
396,H,2022-03-11 19:27:47.438160
397,I,2022-03-11 19:27:50.746652
398,E,2022-03-11 19:28:28.511125
399,E,2022-03-11 19:28:53.767268
400,B,2022-03-11 19:29:58.279972
401,E,2022-03-11 19:30:05.684758
402,E,2022-03-11 19:30:08.071256
403,F,2022-03-11 19:30:12.017396
404,G,2022-03-11 19:30:50.045771
405,C,2022-03-11 19:30:53.859326
406,D,2022-03-11 19:31:05.882431
407,J,2022-03-11 19:31:10.657923
408,E,2022-03-11 19:31:17.743966
409,I,2022-03-11 19:31:36.716585
410,F,2022-03-11 19:31:45.963340
411,A,2022-03-11 19:31:48.134276
412,H,2022-03-11 19:31:51.959080
413,E,2022-03-11 19:31:54.489798
414,H,2022-03-11 19:32:25.645501
415,E,2022-03-11 19:32:53.666018
416,E,2022-03-11 19:32:58.654467
417,H,2022-03-11 19:33:07.747507
418,H,2022-03-11 19:33:38.679353
419,B,2022-03-11 19:34:00.509107
420,F,2022-03-11 19:34:08.339740
421,H,2022-03-11 19:34:20.021626
422,D,2022-03-11 19:34:24.562584
423,B,2022-03-11 19:34:58.470281
424,J,2022-03-11 19:35:03.110876
425,F,2022-03-11 19:35:17.987527
426,I,2022-03-11 19:35:19.106729
427,A,2022-03-11 19:36:37.385611
428,H,2022-03-11 19:37:09.816457
429,J,2022-03-11 19:37:32.972867
430,H,2022-03-11 19:37:36.473146
431,E,2022-03-11 19:37:45.367939
432,F,2022-03-11 19:38:26.141800
433,E,2022-03-11 19:38:35.187622
434,J,2022-03-11 19:38:56.115720
435,G,2022-03-11 19:38:58.143730
436,I,2022-03-11 19:38:58.248284
437,D,2022-03-11 19:39:02.091079
438,D,2022-03-11 19:39:40.126727
439,J,2022-03-11 19:40:29.309110
440,H,2022-03-11 19:40:30.556103
441,G,2022-03-11 19:40:37.679273
442,C,2022-03-11 19:40:37.902031
443,D,2022-03-11 19:40:44.919299
444,D,2022-03-11 19:41:20.995474
445,H,2022-03-11 19:42:04.392570
446,J,2022-03-11 19:42:06.284166
447,G,2022-03-11 19:42:57.287252
448,D,2022-03-11 19:42:59.443650
449,D,2022-03-11 19:43:57.975633
450,F,2022-03-11 19:44:01.065984
451,G,2022-03-11 19:44:02.377768
452,C,2022-03-11 19:44:07.409826
453,C,2022-03-11 19:44:21.564969
454,H,2022-03-11 19:45:07.056948
455,B,2022-03-11 19:45:15.745879
456,G,2022-03-11 19:45:18.305314
457,D,2022-03-11 19:45:35.439009
458,B,2022-03-11 19:45:40.540692
459,J,2022-03-11 19:46:10.184163
460,G,2022-03-11 19:46:26.883073
461,H,2022-03-11 19:46:53.225431
462,H,2022-03-11 19:47:03.979773
463,I,2022-03-11 19:47:21.042899
464,B,2022-03-11 19:47:26.764539
465,J,2022-03-11 19:47:26.886185
466,E,2022-03-11 19:47:33.158712
467,J,2022-03-11 19:47:39.997807
468,H,2022-03-11 19:47:48.316648
469,J,2022-03-11 19:48:00.225776
470,G,2022-03-11 19:49:06.809267
471,J,2022-03-11 19:49:27.450017
472,A,2022-03-11 19:49:47.721284
473,H,2022-03-11 19:50:11.918752
474,A,2022-03-11 19:50:17.508308
475,F,2022-03-11 19:50:29.421878
476,H,2022-03-11 19:50:45.154216
477,G,2022-03-11 19:50:55.086258
478,C,2022-03-11 19:51:02.900247
479,D,2022-03-11 19:51:41.079830
480,I,2022-03-11 19:51:53.191990
481,F,2022-03-11 19:52:26.774981
482,D,2022-03-11 19:52:34.348033
483,D,2022-03-11 19:52:46.784339
484,C,2022-03-11 19:53:14.378340
485,C,2022-03-11 19:53:28.035850
486,A,2022-03-11 19:53:40.562481
487,H,2022-03-11 19:53:46.897566
488,H,2022-03-11 19:53:58.446129
489,G,2022-03-11 19:53:59.519199
490,D,2022-03-11 19:54:00.231476
491,A,2022-03-11 19:54:41.291912
492,B,2022-03-11 19:54:48.432284
493,G,2022-03-11 19:55:02.308494
494,B,2022-03-11 19:55:03.017159
495,F,2022-03-11 19:55:27.579188
496,C,2022-03-11 19:56:22.352145
497,A,2022-03-11 19:56:27.083285
498,I,2022-03-11 19:56:39.168751
499,J,2022-03-11 19:56:47.696001
500,A,2022-03-11 19:57:01.095706
501,E,2022-03-11 19:57:11.809912
502,E,2022-03-11 19:58:10.789541
503,A,2022-03-11 19:58:41.238415
504,G,2022-03-11 19:58:55.124555
505,F,2022-03-11 19:58:55.990624
506,A,2022-03-11 19:59:04.962346
507,D,2022-03-11 19:59:24.388609
508,A,2022-03-11 19:59:25.648141
509,G,2022-03-11 19:59:55.653764
510,J,2022-03-11 19:59:59.594088
511,F,2022-03-11 20:00:10.476759
512,B,2022-03-11 20:00:11.152857
513,E,2022-03-11 20:01:15.780597
514,I,2022-03-11 20:01:40.978853
515,A,2022-03-11 20:02:04.977228
516,H,2022-03-11 20:02:33.741682
517,G,2022-03-11 20:02:43.382636
518,F,2022-03-11 20:03:06.269256
519,G,2022-03-11 20:04:01.482740
520,C,2022-03-11 20:04:50.032783
521,C,2022-03-11 20:05:02.875902
522,B,2022-03-11 20:05:22.188047
523,F,2022-03-11 20:06:26.750469
524,E,2022-03-11 20:06:50.131654
525,H,2022-03-11 20:07:13.403538
526,A,2022-03-11 20:07:28.914551
527,D,2022-03-11 20:07:34.997781
528,C,2022-03-11 20:07:39.337601
529,H,2022-03-11 20:08:13.124484
530,B,2022-03-11 20:08:26.738799
531,E,2022-03-11 20:08:49.490623
532,H,2022-03-11 20:08:50.640090
533,G,2022-03-11 20:09:18.190331
534,C,2022-03-11 20:09:34.214753
535,I,2022-03-11 20:09:39.835134
536,A,2022-03-11 20:09:42.408840
537,G,2022-03-11 20:10:22.970808
538,D,2022-03-11 20:10:45.654729
539,J,2022-03-11 20:11:00.784099
540,E,2022-03-11 20:11:06.884407
541,C,2022-03-11 20:11:14.085333
542,A,2022-03-11 20:11:16.329270
543,I,2022-03-11 20:11:29.324640
544,E,2022-03-11 20:11:32.622247
545,A,2022-03-11 20:11:34.502061
546,J,2022-03-11 20:12:34.502685
547,B,2022-03-11 20:12:41.237138
548,G,2022-03-11 20:13:37.499673
549,J,2022-03-11 20:13:50.257998
550,I,2022-03-11 20:13:57.016448
551,J,2022-03-11 20:14:42.037248
552,D,2022-03-11 20:15:09.078047
553,C,2022-03-11 20:15:29.682925
554,H,2022-03-11 20:15:53.713380
555,C,2022-03-11 20:16:03.601798
556,I,2022-03-11 20:16:23.611640
557,A,2022-03-11 20:16:37.240980
558,C,2022-03-11 20:16:45.183046
559,B,2022-03-11 20:17:02.565221
560,J,2022-03-11 20:17:20.740835
561,C,2022-03-11 20:17:57.274966
562,I,2022-03-11 20:18:19.484066
563,F,2022-03-11 20:18:43.756749
564,C,2022-03-11 20:20:06.465868
565,J,2022-03-11 20:20:14.242830
566,F,2022-03-11 20:20:52.396065
567,E,2022-03-11 20:21:55.902228
568,G,2022-03-11 20:22:13.623019
569,A,2022-03-11 20:23:14.591182
570,G,2022-03-11 20:23:41.964734
571,E,2022-03-11 20:24:01.678588
572,A,2022-03-11 20:24:19.139050
573,H,2022-03-11 20:24:22.884548
574,F,2022-03-11 20:24:53.070801
575,F,2022-03-11 20:25:06.344733
576,G,2022-03-11 20:25:13.988136
577,D,2022-03-11 20:25:17.786043
578,I,2022-03-11 20:25:31.394781
579,H,2022-03-11 20:26:09.537538
580,I,2022-03-11 20:26:23.267158
581,B,2022-03-11 20:26:24.814164
582,G,2022-03-11 20:27:15.769307
583,F,2022-03-11 20:27:42.336931
584,E,2022-03-11 20:27:44.421135
585,G,2022-03-11 20:27:49.769154
586,A,2022-03-11 20:28:06.902636
587,J,2022-03-11 20:28:08.667125
588,H,2022-03-11 20:28:30.665835
589,F,2022-03-11 20:29:39.373880
590,A,2022-03-11 20:29:57.972618
591,I,2022-03-11 20:30:39.304808
592,I,2022-03-11 20:30:54.744774
593,F,2022-03-11 20:31:00.325802
594,E,2022-03-11 20:31:05.692956
595,I,2022-03-11 20:31:19.994823
596,E,2022-03-11 20:32:25.081464
597,F,2022-03-11 20:32:27.128945
598,E,2022-03-11 20:32:51.257704
599,I,2022-03-11 20:32:52.953852
600,J,2022-03-11 20:33:08.484126
601,J,2022-03-11 20:33:16.916821
602,C,2022-03-11 20:33:33.470712
603,G,2022-03-11 20:33:59.122364
604,A,2022-03-11 20:34:00.213826
605,C,2022-03-11 20:34:32.491854
606,F,2022-03-11 20:35:06.182334
607,D,2022-03-11 20:35:32.554407
608,B,2022-03-11 20:35:57.194521
609,H,2022-03-11 20:36:00.419951
610,F,2022-03-11 20:36:10.226026
611,G,2022-03-11 20:36:18.726581
612,H,2022-03-11 20:36:27.919439
613,D,2022-03-11 20:36:51.303398
614,G,2022-03-11 20:37:22.340383
615,G,2022-03-11 20:38:39.456042
616,E,2022-03-11 20:39:07.412782
617,F,2022-03-11 20:39:08.307157
618,F,2022-03-11 20:39:51.410408
619,H,2022-03-11 20:39:58.522464
620,C,2022-03-11 20:40:17.620301
621,B,2022-03-11 20:40:27.623780
622,D,2022-03-11 20:40:49.077171
623,J,2022-03-11 20:41:11.336410
624,I,2022-03-11 20:41:36.180278
625,D,2022-03-11 20:41:38.515777
626,A,2022-03-11 20:41:40.135481
627,E,2022-03-11 20:42:01.733093
628,E,2022-03-11 20:42:24.781534
629,A,2022-03-11 20:43:00.180799
630,F,2022-03-11 20:43:00.253237
631,C,2022-03-11 20:43:19.483751
632,H,2022-03-11 20:43:35.698157
633,D,2022-03-11 20:44:18.094979
634,C,2022-03-11 20:44:19.541576
635,F,2022-03-11 20:44:34.061309
636,G,2022-03-11 20:44:35.673021
637,B,2022-03-11 20:44:42.719578
638,A,2022-03-11 20:45:38.652262
639,E,2022-03-11 20:45:40.537088
640,E,2022-03-11 20:46:34.065412
641,J,2022-03-11 20:46:44.513463
642,I,2022-03-11 20:46:50.781436
643,F,2022-03-11 20:47:01.740106
644,E,2022-03-11 20:48:43.783622
645,G,2022-03-11 20:48:51.830767
646,I,2022-03-11 20:49:06.594227
647,H,2022-03-11 20:49:25.868132
648,H,2022-03-11 20:49:51.259148
649,A,2022-03-11 20:49:57.829362
650,F,2022-03-11 20:50:06.231358
651,B,2022-03-11 20:51:11.035534
652,H,2022-03-11 20:51:12.988789
653,B,2022-03-11 20:51:18.703412
654,C,2022-03-11 20:51:27.197854
655,F,2022-03-11 20:51:39.853270
656,B,2022-03-11 20:51:40.505402
657,G,2022-03-11 20:52:23.308835
658,H,2022-03-11 20:52:47.957583
659,D,2022-03-11 20:52:49.968725
660,B,2022-03-11 20:53:17.168829
661,H,2022-03-11 20:53:37.451681
662,I,2022-03-11 20:53:40.225477
663,J,2022-03-11 20:54:02.939790
664,D,2022-03-11 20:54:11.504582
665,D,2022-03-11 20:54:16.563454
666,F,2022-03-11 20:54:23.997853
667,E,2022-03-11 20:54:38.315136
668,H,2022-03-11 20:55:26.195570
669,E,2022-03-11 20:55:27.245264
670,D,2022-03-11 20:56:18.213829
671,G,2022-03-11 20:56:41.730906
672,C,2022-03-11 20:57:23.507351
673,F,2022-03-11 20:58:21.498682
674,G,2022-03-11 20:58:37.896867
675,E,2022-03-11 20:58:40.185560
676,E,2022-03-11 20:58:44.774513
677,F,2022-03-11 20:58:45.723795
678,D,2022-03-11 20:58:47.189013
679,A,2022-03-11 20:59:01.853578
680,B,2022-03-11 20:59:22.170167
681,F,2022-03-11 20:59:35.366677
682,F,2022-03-11 20:59:47.522232
683,J,2022-03-11 20:59:52.322664
684,B,2022-03-11 21:00:21.622337
685,G,2022-03-11 21:00:25.378603
686,J,2022-03-11 21:00:47.243285
687,B,2022-03-11 21:01:15.653146
688,D,2022-03-11 21:01:42.888277
689,F,2022-03-11 21:02:05.216271
690,B,2022-03-11 21:02:05.929829
691,I,2022-03-11 21:02:12.484596
692,I,2022-03-11 21:02:28.882756
693,I,2022-03-11 21:02:36.302985
694,H,2022-03-11 21:02:42.103703
695,I,2022-03-11 21:02:43.676382
696,B,2022-03-11 21:02:44.677584
697,H,2022-03-11 21:02:45.170775
698,G,2022-03-11 21:03:24.956121
