UQID,Category,DateTimeIncrement
1259,A,113923.67199999999
1289,A,570025.309
1309,A,396306.87799999997
1317,A,103086.468
1345,A,446381.486
1346,A,16963.447
1355,A,126190.80099999999
1362,A,90728.366
1386,A,351773.69399999996
1388,A,63289.208
1390,A,49644.518
1405,A,256216.316
1407,A,44786.767
1411,A,57638.343
1419,A,125996.57500000001
1439,A,407386.96900000004
1444,A,42255.780999999995
1465,A,472561.289
1482,A,455173.857
1504,A,285935.063
1510,A,127251.66
1511,A,15939.76
1520,A,93927.555
1523,A,50693.365999999995
1528,A,49526.832
1531,A,38279.203
1549,A,384925.129
1553,A,92162.336
1558,A,87824.58099999999
1586,A,458300.178
1588,A,30695.461000000003
1591,A,32469.277
1599,A,99736.05399999999
1614,A,315053.903
1621,A,96906.99399999999
1622,A,18142.537
1628,A,218987.878
1633,A,52960.164
1640,A,168802.61
1641,A,18467.384
1644,A,73950.899
1650,A,53933.722
1651,A,9931.575
1663,A,132157.827
1675,A,125002.807
1685,A,148005.477
1717,A,472439.83400000003
1718,A,6218.591
1719,A,23669.02
1731,A,163087.07200000001
1739,A,225323.315
1753,A,198800.071
1759,A,181965.685
1761,A,26267.211
1762,A,25512.757
1785,A,498032.481
1790,A,77558.67499999999
1796,A,143201.075
1809,A,257518.375
1810,A,15922.737
1836,A,445271.189
1844,A,99552.13500000001
1856,A,245757.902
1866,A,145638.84100000001
1867,A,26651.766
1871,A,44349.255
1873,A,40573.479
1891,A,471588.161
1892,A,33917.768000000004
1893,A,29898.404
1904,A,186198.497
1905,A,4383.043
1909,A,62073.996999999996
1915,A,144817.14299999998
1917,A,28285.771
1951,A,708982.87
1957,A,71582.845
1964,A,84507.678
1966,A,42977.304
1995,A,543689.692
1996,A,3313.834
2003,A,144730.632
2022,A,248745.694
2029,A,118021.45899999999
2030,A,42641.176
2034,A,54661.5
2039,A,57050.128000000004
2046,A,76225.448
2053,A,95896.005
2056,A,32775.159
2065,A,173761.132
2088,A,295685.193
2090,A,19327.622000000003
2093,A,79990.97
2099,A,160466.358
2101,A,19597.385
2102,A,11653.624
2109,A,156778.31699999998
2128,A,386974.527
2129,A,3589.534
2134,A,105613.924
2137,A,45792.834
2143,A,61424.19
2144,A,13107.006
2145,A,24148.108
2156,A,168383.61299999998
2174,A,265660.952
2178,A,41701.614
2182,A,22113.78
2187,A,40842.786
2200,A,288507.707
2203,A,61921.899000000005
2218,A,193310.075
2237,A,269939.57
2247,A,218688.287
2248,A,13461.895
2251,A,175586.86599999998
2255,A,133820.628
2262,A,146893.176
2271,A,139838.244
2280,A,200176.169
2281,A,6814.334
2285,A,50202.736000000004
2328,A,871781.531
2334,A,94806.1
2341,A,49696.8
2366,A,292956.479
2370,A,40155.16
2394,A,542026.037
2398,A,82455.919
2399,A,1347.281
2409,A,234429.577
2413,A,38149.509000000005
2418,A,102611.306
2423,A,134909.635
2425,A,7516.755
2426,A,43044.109
2428,A,31815.216
2456,A,352379.047
2459,A,28090.896999999997
2465,A,117135.861
2466,A,39225.378
2470,A,64880.865
2479,A,212573.608
2492,A,238957.423
2513,A,383467.555
2524,A,185097.052
2528,A,48081.935000000005
2531,A,96968.701
2536,A,79437.932
2538,A,53129.403000000006
2540,A,8420.785
2541,A,6468.021000000001
2544,A,21786.457
2568,A,244521.545
2571,A,72520.02799999999
2609,A,730774.944
2621,A,178855.242
2627,A,85888.069
2637,A,216741.711
2638,A,19196.772
2679,A,1099819.2240000002
2687,A,126037.39600000001
2694,A,142381.036
2703,A,179124.923
2705,A,26872.459
2708,A,86050.565
2739,A,547973.55
2747,A,162453.165
2767,A,289085.32
2786,A,284148.976
2788,A,23817.468999999997
2789,A,26252.478
2791,A,21393.861999999997
2803,A,272018.218
2840,A,757600.133
2856,A,367024.236
2877,A,299051.221
2889,A,248871.61599999998
2907,A,319451.464
2919,A,235522.09
2926,A,92068.13200000001
2940,A,273991.729
2945,A,112306.68400000001
2987,A,715682.4759999999
2991,A,87641.543
3032,A,741602.259
3040,A,158874.413
3082,A,918063.1240000001
3088,A,49216.414
3092,A,45748.191
3094,A,68940.139
3095,A,3874.636
3097,A,103829.534
3098,A,17692.189
3104,A,91297.783
3113,A,178732.552
3120,A,102775.58600000001
3123,A,95229.574
3124,A,3272.021
3125,A,64.762
3131,A,90177.30799999999
3140,A,166885.307
3154,A,195962.84399999998
3165,A,334224.309
3177,A,215738.829
3191,A,207442.74
3194,A,46837.605
3195,A,85195.29699999999
3198,A,15697.45
3200,A,44805.265
3204,A,79169.98300000001
3209,A,96904.843
3214,A,54724.825000000004
3224,A,104435.11499999999
3232,A,130607.873
3241,A,159744.568
3248,A,121604.55
3249,A,12437.124000000002
3266,A,168656.16600000003
3307,A,631945.405
3317,A,118756.536
3319,A,10525.655999999999
3324,A,33515.84
3329,A,94461.36
3334,A,39423.72
3343,A,198416.11000000002
3345,A,23470.242
3352,A,155324.036
3355,A,48127.081
3357,A,6929.494
3359,A,99525.316
3378,A,393376.733
3382,A,79344.658
3388,A,97150.20599999999
3404,A,273998.789
3410,A,90729.989
3416,A,79602.667
3418,A,36795.61
3442,A,476072.541
3458,A,301872.256
3461,A,28937.541
3465,A,24138.718999999997
3475,A,148347.02
3482,A,176410.471
3486,A,52842.191
3489,A,31707.402
3497,A,141192.206
3510,A,304904.34900000005
3511,A,27881.806999999997
3516,A,27940.143
3530,A,185657.834
3533,A,95536.444
3554,A,310868.973
3555,A,55764.983
3558,A,43681.952000000005
3564,A,93364.712
3578,A,263631.963
3579,A,8518.276
3592,A,328006.143
3603,A,199148.16400000002
3607,A,95023.837
3625,A,371391.687
3627,A,79813.78700000001
3630,A,94041.115
3632,A,6824.518999999999
3640,A,63248.149
3642,A,9900.295
3645,A,29069.802
3651,A,72687.869
3663,A,151482.44199999998
3665,A,23735.27
3667,A,14532.142
3670,A,22508.178
3678,A,130168.72
3710,A,691157.626
3730,A,323419.31
3736,A,42502.598
3739,A,59866.857
3748,A,113580.018
3750,A,50140.948000000004
3751,A,9437.566
3754,A,152389.75
3759,A,63161.172
3760,A,54158.102999999996
3761,A,33444.014
3790,A,453629.972
3796,A,117557.419
3805,A,156956.66
3807,A,54054.420999999995
3811,A,156447.049
3812,A,14248.23
3822,A,148324.42599999998
3835,A,145034.3
3841,A,93100.476
3864,A,321234.27900000004
3872,A,111819.089
3896,A,367257.24000000005
3901,A,67437.35800000001
3923,A,505883.056
3930,A,131654.625
3932,A,16413.172
3935,A,200786.426
3941,A,104128.89
3946,A,92339.573
3972,A,428904.03099999996
3979,A,119873.767
3983,A,57682.769
3985,A,34868.170999999995
3992,A,132426.972
4005,A,325044.834
4014,A,150708.52300000002
4023,A,107382.663
4037,A,213947.575
4051,A,257556.97099999996
4053,A,31445.178
4104,A,833078.511
4111,A,107929.836
4114,A,45905.286
4147,A,568733.43
4156,A,156524.064
4174,A,404051.565
4203,A,478701.08800000005
4209,A,110256.272
4226,A,236257.546
4239,A,76948.773
4250,A,195207.882
4283,A,567837.392
4288,A,33674.982
4297,A,86017.58200000001
4298,A,2795.701
4304,A,72651.006
4319,A,292263.683
4322,A,43936.335999999996
4329,A,190345.97400000002
4369,A,660607.7440000001
4378,A,78023.977
4388,A,363817.122
4397,A,116817.781
4408,A,103006.617
4417,A,167345.03900000002
4422,A,52083.838
4424,A,20279.456
4425,A,11022.923999999999
4426,A,28596.236999999997
4433,A,178657.95
4437,A,71485.293
4455,A,527933.979
4464,A,192720.328
4491,A,548162.197
4497,A,44291.673
4501,A,17572.893
4521,A,306625.54
4549,A,465852.534
4556,A,73800.35800000001
4559,A,43459.153
4560,A,20360.694
4567,A,75973.725
4575,A,164858.70700000002
4585,A,106286.495
4590,A,63670.49
4615,A,293965.123
4618,A,21370.491
4623,A,79151.825
4625,A,19368.458
4626,A,216.125
4628,A,31314.286
4639,A,214578.35499999998
4649,A,184644.555
4651,A,66447.272
4700,A,891950.468
4721,A,291020.36399999994
4724,A,28593.158
4725,A,45376.744
4726,A,42340.21
4727,A,23120.411
4730,A,137593.144
4755,A,498702.953
4759,A,19722.371
4760,A,164.912
4763,A,40225.946
4783,A,304365.616
4796,A,384673.2
4823,A,314854.43700000003
4834,A,157418.364
4836,A,25654.856
4840,A,39842.584
4841,A,12046.887999999999
4857,A,247212.098
4877,A,368227.85099999997
4883,A,190102.258
4885,A,61643.197
4887,A,95805.70899999999
4908,A,312043.56799999997
4936,A,428159.618
4944,A,53802.38
4985,A,723178.758
4989,A,60810.772
4999,A,135656.94199999998
5001,A,46998.293
5007,A,174066.812
5012,A,73440.667
5014,A,25660.265
5015,A,12727.175000000001
5019,A,82762.514
5020,A,29541.456000000002
5043,A,347081.74100000004
5051,A,78864.82100000001
5057,A,46133.924
5063,A,75930.943
5070,A,109038.631
5072,A,37693.202
5078,A,95075.41399999999
5091,A,219112.706
5113,A,416390.14900000003
5119,A,124624.179
5137,A,280761.478
5150,A,347031.471
5157,A,53573.352999999996
5163,A,105886.66
5174,A,171543.51299999998
5176,A,13270.216
5180,A,66562.514
5183,A,65393.361999999994
5184,A,3763.248
5187,A,96488.978
5194,A,102213.717
5211,A,218802.619
5223,A,320419.376
5225,A,24818.940000000002
5234,A,181299.43399999998
5237,A,24665.948
5249,A,263881.434
5265,A,300707.95399999997
5268,A,63547.424
5271,A,77847.859
5295,A,361311.49799999996
5310,A,136021.054
5312,A,18256.601
5320,A,173962.177
5333,A,242477.184
5335,A,10644.587
5337,A,5930.272000000001
5340,A,16663.472999999998
5345,A,51796.434
5348,A,39015.247
5367,A,232419.973
5368,A,5682.629999999999
5383,A,226241.295
5384,A,26576.233
5385,A,20830.477
5391,A,120695.064
5400,A,135477.684
5413,A,226818.166
5420,A,50677.281
5429,A,127801.72
5435,A,69828.224
5439,A,64886.64
5444,A,53781.529
5454,A,154779.198
5468,A,158551.701
5481,A,244224.927
5486,A,90258.251
5487,A,4206.2
5489,A,48128.762
5494,A,76574.383
5503,A,92400.356
5509,A,133198.073
5524,A,261416.48300000004
5528,A,35507.398
5534,A,66344.28300000001
5537,A,14478.607
5552,A,263773.783
5555,A,15042.761
5559,A,82311.734
5560,A,35486.803
5564,A,99783.851
5568,A,111301.942
5619,A,870506.865
5623,A,84159.033
5633,A,192335.23500000002
5662,A,569229.366
5663,A,47849.899
5699,A,545984.409
5738,A,565079.4110000001
5740,A,6402.8150000000005
5753,A,274035.93200000003
5758,A,82272.279
5794,A,685808.333
5808,A,402202.62
5809,A,6005.966
5815,A,124080.32699999999
5821,A,91428.695
5862,A,682698.169
5869,A,135881.39
5880,A,168087.206
5885,A,77066.379
5890,A,73061.572
5894,A,108555.109
5903,A,114441.544
5912,A,216883.561
5929,A,366087.936
5930,A,6088.021000000001
5931,A,3413.217
5934,A,70153.55200000001
5942,A,83329.707
5948,A,92892.742
5957,A,128326.433
5976,A,362804.102
5981,A,114654.708
5992,A,120813.18000000001
6006,A,269084.605
6010,A,29505.944
6012,A,14888.154999999999
6013,A,22918.826
6037,A,440806.915
6043,A,80720.984
6047,A,35327.256
6057,A,138253.91
6066,A,326725.331
6073,A,174315.88
6082,A,113125.101
6086,A,70504.489
6091,A,105548.904
6094,A,46117.27
6112,A,317258.76399999997
6126,A,234646.842
6133,A,214526.24399999998
6164,A,444754.823
6174,A,298078.18
6205,A,667231.583
6209,A,61112.751000000004
6214,A,86417.446
6216,A,18954.853
6218,A,18762.149999999998
6225,A,108810.501
6239,A,177680.755
6277,A,483468.756
6285,A,178567.21899999998
6295,A,147151.705
6322,A,483029.475
6337,A,309481.538
6342,A,146895.275
6343,A,6119.976000000001
6349,A,91938.41399999999
6353,A,84665.446
6354,A,23595.415
6357,A,82051.519
6366,A,225522.32200000001
6370,A,71751.891
6372,A,46703.773
6377,A,134974.516
6379,A,17716.252999999997
6390,A,207684.918
6401,A,161524.506
6423,A,372921.141
6424,A,8412.824
6426,A,20182.53
6436,A,148751.311
6465,A,482490.614
6488,A,521610.77999999997
6497,A,131846.516
6501,A,97200.03199999999
6517,A,313091.024
6522,A,59776.87
6524,A,10276.197
6564,A,599956.824
6593,A,647713.6839999999
6599,A,114644.512
6603,A,25836.751
6606,A,91313.47499999999
6609,A,20136.056
6618,A,183528.658
6633,A,185472.92200000002
6634,A,36452.288
6642,A,97417.382
6643,A,14583.232
6663,A,365631.062
6670,A,121216.984
6679,A,140124.86000000002
6683,A,53316.93
6702,A,303958.066
6735,A,617806.652
6743,A,115817.093
6746,A,43519.943
6748,A,10487.439
6754,A,132231.594
6761,A,177600.896
6766,A,79910.58099999999
6782,A,272817.56
6795,A,179645.14500000002
6797,A,17284.139
6800,A,44599.524000000005
6824,A,565319.051
6833,A,197995.399
6835,A,41325.839
6837,A,21267.048
6844,A,155188.553
6846,A,37929.732
6862,A,269482.619
6869,A,144139.33
6876,A,105998.67
6881,A,179162.218
6883,A,34773.083
6890,A,109363.705
6892,A,39195.404
6899,A,149824.204
6902,A,7514.6990000000005
6908,A,144191.76100000003
6942,A,544908.789
6949,A,63831.380000000005
6954,A,81399.097
6961,A,130828.65000000001
6964,A,55925.595
6979,A,221091.701
6984,A,49374.214
6994,A,89668.38900000001
6998,A,47339.388
7001,A,67416.988
7006,A,98375.497
7020,A,201858.098
7035,A,265351.174
7052,A,277001.31
7061,A,133575.689
7071,A,111682.08099999999
7076,A,39022.7
7080,A,19801.185
7111,A,449204.75800000003
7136,A,299807.281
7139,A,21076.91
7143,A,41133.208000000006
7145,A,24256.633
7149,A,60286.561
7157,A,100625.991
7163,A,63174.689999999995
7167,A,85059.026
7173,A,150754.47199999998
7240,A,1386691.169
7266,A,320227.59
7271,A,59174.211
7292,A,308232.141
7293,A,28766.786
7300,A,141039.321
7308,A,106789.865
7310,A,4545.545
7322,A,213486.91999999998
7324,A,11253.782
7331,A,172444.502
7334,A,30724.882999999998
7345,A,218024.459
7350,A,67392.01699999999
7356,A,84008.68400000001
7362,A,108717.617
7364,A,74357.355
7375,A,171172.53600000002
7382,A,73012.056
7383,A,6279.912
7400,A,245741.497
7405,A,134277.989
7411,A,96835.391
7426,A,193869.58899999998
7443,A,209261.276
7457,A,192712.754
7462,A,19166.929
7463,A,9358.284
7468,A,51830.030999999995
7479,A,107370.26299999999
7487,A,106232.179
7493,A,79496.758
7496,A,21016.583000000002
7533,A,580139.815
7545,A,233678.18099999998
7547,A,26267.683
7548,A,10549.521
7559,A,143252.051
7565,A,92352.337
7574,A,185684.508
7581,A,120150.164
7586,A,147580.545
7589,A,29569.391
7609,A,396672.945
7624,A,258358.25999999998
7632,A,151289.625
7644,A,148407.93099999998
7645,A,25166.166
7649,A,58577.367000000006
7650,A,569.87
7682,A,718870.611
7694,A,100180.52
7695,A,1178.428
7703,A,80243.303
7718,A,166689.93
7724,A,63131.977999999996
7730,A,178435.848
7760,A,586487.944
7790,A,641158.908
7797,A,99522.846
7800,A,76409.00499999999
7803,A,66439.82400000001
7811,A,94894.49500000001
7814,A,25125.131
7816,A,26912.095999999998
7824,A,160366.307
7830,A,89650.05600000001
7841,A,108977.959
7844,A,24457.163999999997
7851,A,133529.269
7858,A,188270.898
7865,A,160474.171
7877,A,214923.75
7881,A,147340.285
7892,A,150829.41700000002
7893,A,21363.269
7899,A,34078.25
7912,A,174549.092
7942,A,634197.7030000001
7948,A,62158.380000000005
7956,A,107491.663
7976,A,336152.252
7990,A,297979.329
7996,A,84738.038
7998,A,35615.727
8013,A,204537.443
8019,A,116288.45599999999
8021,A,22512.016
8036,A,277020.74299999996
8040,A,90034.65
8053,A,181040.631
8061,A,144820.552
8065,A,28603.084
8069,A,9294.077
8070,A,7765.782999999999
8072,A,17564.819
8080,A,182919.12600000002
8094,A,154717.929
8103,A,198964.458
8106,A,27527.555
8108,A,114495.462
8118,A,233559.97199999998
8120,A,46599.905999999995
8140,A,255589.31699999998
8144,A,75427.432
8145,A,1654.9460000000001
8151,A,102286.023
8154,A,55026.539
8161,A,103188.568
8174,A,205114.07700000002
8193,A,241385.718
8206,A,138195.981
8207,A,305.899
8241,A,633941.005
8246,A,82792.989
8253,A,140121.4
8261,A,100309.568
8262,A,23251.543999999998
8285,A,442518.539
8298,A,216062.55
8314,A,317290.208
8333,A,528613.781
8360,A,365166.286
8361,A,10595.376999999999
8365,A,63406.861
8410,A,795805.88
8413,A,93580.03499999999
8418,A,146929.087
8422,A,90674.341
8434,A,171083.752
8444,A,129424.95099999999
8445,A,8100.944
8468,A,221359.714
8485,A,230978.067
8502,A,270660.924
8507,A,41947.159
8519,A,251103.08599999998
8526,A,158287.92
8528,A,29612.849000000002
8544,A,314501.044
8548,A,60144.23
8556,A,112338.12299999999
8564,A,138162.31
8570,A,109963.45999999999
8582,A,228865.43800000002
8583,A,11987.745
8586,A,20184.335
8592,A,98034.19200000001
8604,A,270774.604
8613,A,134240.798
8623,A,112391.86200000001
8624,A,5785.278
8633,A,131057.82500000001
8638,A,44509.665
8650,A,357345.735
8651,A,6478.232
8652,A,23771.997
8689,A,697100.026
8690,A,11740.536
8702,A,271491.918
8706,A,48267.217000000004
8720,A,233987.01
8725,A,158010.639
8732,A,63641.903999999995
8737,A,33151.132
8762,A,397376.526
8765,A,39980.625
8771,A,46856.326
8773,A,2524.452
8774,A,12922.746
8777,A,46416.914
8814,A,570810.1349999999
8823,A,125705.128
8831,A,181162.22
8835,A,172613.095
8854,A,279918.401
8859,A,39609.644
8879,A,410245.30199999997
8884,A,84582.543
8912,A,640951.4380000001
8914,A,44286.254
8915,A,684.858
8932,A,385845.479
8933,A,1865.42
8935,A,2951.496
8943,A,130937.90100000001
8949,A,83584.04000000001
8951,A,9625.873
8969,A,214419.15399999998
8974,A,86116.505
8978,A,86948.19499999999
8979,A,9672.757000000001
8989,A,98432.884
9001,A,103223.01000000001
9002,A,4640.046
9012,A,155174.01200000002
9016,A,51431.009000000005
9019,A,35588.341
9033,A,266664.04699999996
9068,A,682482.961
9090,A,557457.722
9092,A,19669.039
9097,A,60211.939999999995
9102,A,36483.405
9105,A,36649.814
9134,A,421995.33400000003
9142,A,129374.92499999999
9165,A,460333.753
9175,A,158034.64500000002
9184,A,218531.963
9185,A,3810.278
9187,A,23488.934
9191,A,61876.655
9192,A,24633.193
9196,A,77772.951
9215,A,378378.755
9222,A,102524.095
9225,A,41675.561
9228,A,25989.388000000003
9231,A,19180.039
9241,A,127993.95800000001
9257,A,355049.865
9270,A,168632.86500000002
9275,A,89572.76699999999
9300,A,495915.217
9329,A,538774.2030000001
9331,A,23090.09
9332,A,33.84
9365,A,662438.269
9368,A,42426.898
9369,A,18641.756999999998
9380,A,180397.074
9391,A,196199.00100000002
9393,A,14853.668000000001
9396,A,27694.117
9398,A,51413.544
9405,A,171631.515
9407,A,30660.314
9425,A,223758.486
9427,A,29466.097
9443,A,324813.039
9444,A,14225.491
9448,A,101891.82800000001
9455,A,179155.345
9464,A,93536
9469,A,111660.686
9473,A,9372
9475,A,9372.982
9485,A,119126.123
9490,A,66502.621
9502,A,241342.21600000001
9505,A,19758.074
9508,A,35020.142
9524,A,244791.276
9528,A,23564.198
9550,A,443996.84500000003
9553,A,114545.489
9558,A,134448.804
9560,A,18614.494
9588,A,413215.61000000004
9596,A,183692.693
9612,A,302389.693
9619,A,131422.95200000002
9633,A,201040.82700000002
9634,A,16660.905
9648,A,343813.974
9651,A,16600.965
9679,A,392079.66
9749,A,1346951.497
9763,A,213343.754
9766,A,51990.405000000006
9768,A,43144.827
9781,A,209442.924
9782,A,15430.963
9792,A,115432.81
9795,A,42182.512
9808,A,397774.65
9811,A,63608.674999999996
9846,A,691482.5399999999
9854,A,116503.398
9856,A,25830.960000000003
9900,A,927001.8
9903,A,8053.247
9912,A,236882.852
9913,A,6808.469999999999
9924,A,172763.829
9935,A,252105.051
9940,A,47200.676
9942,A,51322.933
9953,A,180721.40099999998
9968,A,299866.68200000003
9978,A,151778.837
9985,A,113037.41100000001
9994,A,157387.942
10004,A,264831.543
10026,A,282777.16500000004
10027,A,5595.491
10030,A,63781.373
10036,A,79218.53199999999
10060,A,313468.09
10071,A,223440.032
10095,A,335447.873
10101,A,68278.859
10126,A,544868.78
10135,A,114563.868
10153,A,325993.523
10154,A,25197.648
10160,A,95174.88799999999
10188,A,348056.77300000004
10190,A,2945.2110000000002
10196,A,93226.088
10203,A,143132.936
10206,A,155449.423
10211,A,129255.099
10217,A,144521.105
10218,A,35992.295
10219,A,802.139
10220,A,3317.725
10266,A,657563.071
10268,A,6477.706999999999
10284,A,390409.51
10286,A,69236.689
10295,A,165949.19400000002
10304,A,120911.981
10311,A,130962.333
10324,A,273789.639
10327,A,107544.699
10341,A,223274.87600000002
10351,A,82276.261
10353,A,33513.075
10363,A,125353.083
10368,A,47583.241
10400,A,614302.4820000001
10404,A,146437.97799999997
10406,A,9940.319000000001
10409,A,105394.93000000001
10413,A,98787.373
10484,A,1126998.2110000001
10487,A,89475.39199999999
10508,A,455956.121
10527,A,212645.769
10541,A,319540.975
10562,A,372416.966
10564,A,24289.716
10573,A,150303.205
10579,A,32511.876999999997
10591,A,212558.534
10611,A,279058.34599999996
10617,A,101562.756
10630,A,143185.45599999998
10642,A,306689.659
10643,A,2598.58
10645,A,69436.938
10653,A,68973.698
10659,A,73312.698
10676,A,268113.384
10698,A,357320.016
10717,A,298954.72000000003
10743,A,366120.751
10746,A,83467.734
10747,A,12023.214
10752,A,138734.788
10757,A,119800.504
10783,A,500522.94899999996
10784,A,3187.2129999999997
10801,A,321491.958
10824,A,332546.854
10837,A,209991.853
10868,A,502216.15400000004
10884,A,268456.994
10891,A,118194.394
10897,A,92420.688
10899,A,13293.894
10900,A,11748.737000000001
10911,A,135297.809
10912,A,22165.738
10921,A,122410.457
10934,A,232118.817
10939,A,64416.775
10950,A,100319.513
10964,A,225288.714
10970,A,46694.348
10972,A,52442.613000000005
10980,A,99107.856
10998,A,401102.572
11000,A,30974.812
11023,A,389604.317
11039,A,293688.03
11049,A,112719.081
11063,A,179678.613
11074,A,151702.49000000002
11092,A,265520.961
11121,A,505025.172
11132,A,131679.766
11143,A,157306.746
11146,A,38672.384
11150,A,60693.922999999995
11153,A,11022.865
11185,A,563554.315
11186,A,64.169
11195,A,188728.336
11202,A,82743.431
11222,A,422934.47099999996
11232,A,238629.55099999998
11238,A,92595.572
11240,A,24306.12
11246,A,148832.517
11247,A,10963.653
11277,A,497725.71
11278,A,35255.892
11282,A,51855.573
11283,A,46347.653
11302,A,395806.409
11310,A,185613.796
11311,A,7896.4220000000005
11313,A,30742.187
11315,A,111253.342
11325,A,238938.30500000002
11349,A,519773.817
11364,A,368452.258
11366,A,8566.874
11389,A,566918.404
11406,A,267192.508
11409,A,83450.531
11412,A,56332.116
11428,A,360740.456
11456,A,466512.623
11473,A,146902.524
11476,A,63965.617
11481,A,86224.00600000001
11485,A,38714.324
11498,A,216002.00699999998
11527,A,603349.6209999999
11542,A,308788.777
11552,A,112779.962
11560,A,198348.928
11565,A,107875.15999999999
11567,A,84275.663
11574,A,198999.29
11593,A,396684.24299999996
11604,A,178573.299
11605,A,66080.82400000001
11614,A,149474.898
11619,A,124098.90699999999
11620,A,2200.2549999999997
11634,A,124076.844
11645,A,237295.757
11658,A,256052.15299999996
11661,A,56510.537
11668,A,97135.73
11693,A,353294.56
11704,A,126135.126
11710,A,75427.231
11712,A,59562.567
11721,A,210293.902
11731,A,165790.10299999997
11748,A,304772.994
11756,A,158707.38499999998
11759,A,96948.74799999999
11761,A,39785.451
11770,A,158396.03
11778,A,112870.08799999999
11780,A,20945.783
11787,A,46950.24
11814,A,413254.062
11834,A,519776.90199999994
11839,A,61829.172999999995
11850,A,196176.842
11852,A,16323.981
11859,A,109626.627
11872,A,205357.87
11877,A,111321.17
11885,A,100571.725
11892,A,154746.047
11908,A,278179.763
11952,A,737643.164
11959,A,132739.963
11960,A,7756.097
11966,A,49825.059
11977,A,192168.501
11978,A,5309.258
11983,A,81641.558
11988,A,66738.788
12000,A,220048.913
12010,A,202771.062
12023,A,221955.003
12025,A,90450.127
12046,A,290254.365
12053,A,90221.477
12087,A,570555.422
12096,A,175406.886
12113,A,211542.26299999998
12114,A,31305.191
12115,A,1517.998
12140,A,524114.766
12149,A,176896.73500000002
12166,A,226601.236
12174,A,171370.766
12179,A,69202.368
12180,A,17830.136
12195,A,274146.41
12202,A,121384.867
12203,A,36641.479
12205,A,45146.166
12206,A,15189.782
12228,A,586585.841
12229,A,22731.226
12246,A,266275.69
12249,A,47639.817
12268,A,336180.804
12282,A,291820.55700000003
12293,A,282370.091
12301,A,186097.578
12304,A,52404.86
12308,A,78514.292
12315,A,125878.973
12321,A,113083.461
12341,A,236662.509
12346,A,84129.651
12349,A,17574.853
12355,A,132847.426
12392,A,598996.662
12393,A,15267.735
12396,A,51254.854999999996
12400,A,76937.372
12404,A,85486.981
12411,A,62547.376
12422,A,264919.77300000004
12440,A,293618.273
12443,A,29063.39
12458,A,313583.499
12459,A,23326.28
12488,A,547546.317
12508,A,335346.743
12509,A,56717.112
12515,A,128724.78899999999
12529,A,362729.198
12533,A,82897.15800000001
12539,A,200910.158
12550,A,175542.237
